pathway,I2,Q_test,model_p,Coefficient,C.lower,C.upper
PWY-5845,0,0.999784197108109,0.634008716499849,-0.0379410637297392,-0.194135858456045,0.118253730996567
PWY-5850,0,0.999985572956406,0.645229225772917,-0.0366898360487679,-0.192881793212775,0.11950212111524
PWY-5855,0,0.633448613811128,0.80171303010842,0.0200320346890859,-0.136309106625554,0.176373176003726
PWY-5856,0,0.633448613811128,0.80171303010842,0.0200320346890859,-0.136309106625554,0.176373176003726
PWY-5857,0,0.633448613811128,0.80171303010842,0.0200320346890859,-0.136309106625554,0.176373176003726
PWY-5860,0,0.999924121742699,0.562586748993132,-0.0461440272233899,-0.202344494022189,0.110056439575409
PWY-5861,45.7182208041989,0.129398671964017,0.171038241916033,-0.170677570827758,-0.415054746257171,0.0736996046016553
PWY-5862,0,0.999934463006225,0.556662395011314,-0.046845712859711,-0.203046707436683,0.109355281717261
PWY-5863,40.5919968157558,0.170181168560433,0.172033885279393,-0.161789667889875,-0.393980097722028,0.0704007619422785
PWY-5896,0,0.999985572956406,0.645229225772917,-0.0366898360487679,-0.192881793212775,0.11950212111524
PWY-5897,44.4442519323766,0.137987351190956,0.216313415581172,-0.152117676750657,-0.393259248384217,0.0890238948829026
PWY-5898,44.4442519323766,0.137987351190956,0.216313415581172,-0.152117676750657,-0.393259248384217,0.0890238948829026
PWY-5899,44.4442519323766,0.137987351190956,0.216313415581172,-0.152117676750657,-0.393259248384217,0.0890238948829026
PWY-5910,52.28635012911,0.0910501351680878,2.54949255596971e-05,-0.574160777400729,-0.841437431594737,-0.30688412320672
PWY-5913,0,0.563584719258745,0.523832712604075,-0.0508626822448106,-0.207250245278517,0.105524880788896
PWY-5918,5.47557109460132,0.401830996331364,0.0524148032190375,-0.164709918750365,-0.331139599742995,0.00171976224226522
PWY-5920,0,0.872101901227046,0.878224435445408,0.0122153555752309,-0.144040926165581,0.168471637316043
PWY-5941,40.5802413543486,0.168265659508677,0.170358604887718,0.162408547046986,-0.0697597423214264,0.394576836415398
PWY-5971,0,0.451645510919688,0.204568120630934,0.101303566156656,-0.0552031970624488,0.257810329375761
PWY-5973,0,0.70492835302127,0.00636155790579653,0.218255577600425,0.0614782395974463,0.375032915603405
PWY-5989,16.8838901990126,0.27496241533098,0.00105407384377817,0.313006244946895,0.125722780663292,0.500289709230498
PWY-6071,0,0.888296922072441,0.643557112238099,0.0368921471533807,-0.119369831629826,0.193154125936588
PWY-6107,0,0.862130368059504,0.794869649998212,0.0207284997864467,-0.135534205865144,0.176991205438037
PWY-6121,0,0.915559089293588,0.464257487305356,-0.0583519032208314,-0.214622932742336,0.097919126300673
PWY-6122,0,0.885569094661284,0.428100954598322,-0.0631900897242302,-0.219478817637856,0.0930986381893955
PWY-6123,0,0.64871701850229,0.620215200193613,-0.0395298701911146,-0.195877049806541,0.116817309424312
PWY-6125,6.90408357837098e-05,0.496689544220114,0.258543419739553,-0.0901972610070375,-0.246664811818585,0.0662702898045105
PWY-6126,0,0.478917298533848,0.53628010340342,-0.0493564952251145,-0.205775405284016,0.107062414833787
PWY-6141,7.35098093134703,0.346442263175966,0.730441142572046,-0.0324487046077682,-0.217038357351049,0.152140948135513
PWY-6143,18.5478348490692,0.298611814005374,3.15199662187911e-05,-0.405856177682995,-0.59697241066658,-0.214739944699409
PWY-6147,62.3575987587617,0.0411705045199708,0.108786315615529,-0.243269270851322,-0.540586262649741,0.0540477209470979
PWY-6148,15.0494493729085,0.33421158898212,0.804537793588232,-0.0253650960165866,-0.226249777328317,0.175519585295143
PWY-6151,66.1771281570542,0.0389361508660512,0.981176894105893,0.00376251853983847,-0.308798796460365,0.316323833540042
PWY-6163,0,0.760006392362508,0.819046434891863,0.0182433899764503,-0.138053921442469,0.17454070139537
PWY-6165,38.1932707417466,0.173199012603465,0.606649511745645,-0.0594596928635317,-0.285809422340128,0.166890036613065
PWY-6167,51.6199915265044,0.0969459474027967,0.920889233633727,0.0148627098372908,-0.278454204023676,0.308179623698258
PWY-6174,15.7828345439715,0.371880361226966,0.872918786585418,0.0150126898993329,-0.168944424499039,0.198969804297705
PWY-6182,0,0.660499650464608,0.846811947143239,0.0154089920851387,-0.140921171323057,0.171739155493335
PWY-6185,0,0.632594106413227,0.727424146918454,0.0278039323683421,-0.128541144398312,0.184149009134996
PWY-621,0.0129011782190184,0.310247567722018,0.93524020653045,0.00648794373714422,-0.150011249273916,0.162987136748204
PWY-6210,0,0.122387521522139,0.793900509420632,0.0225048354815431,-0.146332827329932,0.191342498293018
PWY-6263,0,0.921649337086703,0.466282764947214,-0.0580866197488258,-0.214354771328027,0.0981815318303751
PWY-6269,38.82091251965,0.1790669521426,0.0961811159171145,0.193885947466166,-0.0345322982517068,0.422304193184039
PWY-6277,0,0.885569094661284,0.428100954598322,-0.0631900897242302,-0.219478817637856,0.0930986381893955
PWY-6282,23.6684789269517,0.242058624094176,0.00137695428184937,0.325775283658603,0.126206588280011,0.525343979037195
PWY-6317,0.0087678569769717,0.242617750822162,0.463955720471272,-0.0585021006701252,-0.215069593363598,0.0980653920233474
PWY-6338,9.07141828145135e-05,0.450821935452434,0.727260236054424,-0.0278337118902972,-0.184248277377972,0.128580853597378
PWY-6339,49.18559279567,0.114334444319774,0.740732289030514,-0.0571062308200177,-0.395370506984357,0.281158045344322
PWY-6349,35.3953526723674,0.147020183627518,0.666279153961585,0.0485926032107017,-0.172247953081614,0.269433159503018
PWY-6350,32.4980372469239,0.163036056593782,0.694476507920933,0.0430741578480584,-0.171860936732784,0.258009252428901
PWY-6353,0,0.983064768052813,0.437767970230224,0.0618567994786549,-0.0943830492848314,0.218096648242141
PWY-6383,0,0.728492092091577,0.00104603442943829,-0.262527498815399,-0.419504020831763,-0.105550976799035
PWY-6385,0,0.650840800312534,0.658573318920164,-0.0352483893639891,-0.191591706413446,0.121094927685468
PWY-6386,0,0.666439110562245,0.652427740124497,-0.0359259591135627,-0.192264371663065,0.120412453435939
PWY-6387,0,0.678118159632966,0.629708261000668,-0.0384576311257445,-0.194793882714575,0.117878620463086
PWY-6396,51.4912466446757,0.0933750674844433,0.372954737979132,-0.117990290594293,-0.377551559010216,0.14157097782163
PWY-6397,38.8656859648782,0.186066800972875,0.33261521655269,-0.112735665068116,-0.340795365698234,0.115324035562002
PWY-6404,47.2113661291099,0.122961841968035,0.747782499427815,0.0544630204687914,-0.277493698727626,0.386419739665209
PWY-6467,0,0.953566841291462,0.416210402281339,0.0648188605710998,-0.091442573190798,0.221080294332998
PWY-6470,68.7587308258353,0.0191989978018019,0.0124348955843977,-0.419120046722843,-0.747762459216128,-0.0904776342295576
PWY-6471,0.0175689995974574,0.199436514756596,0.458153228209312,0.0592832438316405,-0.097334081050675,0.215900568713956
PWY-6478,0,0.942092129439286,0.219002417412926,-0.0980354999739037,-0.254355366316622,0.0582843663688151
PWY-6505,0.00467855586271501,0.341664370229952,0.7196089278792,0.0308916019381141,-0.137770089468595,0.199553293344823
PWY-6507,0,0.519265902600471,0.00462131137738345,0.226705253478121,0.0698247453033131,0.383585761652929
PWY-6519,0.0217898540650954,0.336256003360504,0.000543893140340836,0.277454446132461,0.120202647676254,0.434706244588668
PWY-6545,41.2133914021565,0.168225719720733,0.108726163651087,0.19125000325604,-0.0424507189078903,0.42495072541997
